Dedo,Movimento,Repetição,Timestamp,Canal1,Canal2,Canal3,Canal4,Canal5,Canal6,Canal7,Canal8
1,Flexão,1,1758635370614394,-1,-3,10,-19,-3,1,1,1
1,Flexão,1,1758635370615983,0,3,-1,3,0,-5,-1,-1
1,Flexão,1,1758635370615983,1,-1,-8,-20,-2,0,0,-3
1,Flexão,1,1758635370636800,0,-1,11,-20,-2,1,-2,-2
1,Flexão,1,1758635370636800,-1,-3,-10,15,0,-1,1,0
1,Flexão,1,1758635370638435,-1,-2,8,7,0,-2,-3,0
1,Flexão,1,1758635370638435,-2,-2,-13,-12,-3,-1,-1,-1
1,Flexão,1,1758635370652281,-1,2,16,-1,2,-1,-1,1
1,Flexão,1,1758635370652281,0,-2,-3,-3,0,-2,0,0
1,Flexão,1,1758635370653458,-2,-3,5,-16,-3,-1,-1,-2
1,Flexão,1,1758635370653458,-2,-1,7,27,3,0,1,0
1,Flexão,1,1758635370674540,-2,-1,-4,-18,-3,-4,-3,-2
1,Flexão,1,1758635370674540,1,0,6,-20,1,0,0,-3
1,Flexão,1,1758635370675556,-2,1,-8,32,0,11,0,-1
1,Flexão,1,1758635370675556,1,4,6,7,3,-6,0,0
1,Flexão,1,1758635370688616,-2,-5,9,5,3,5,-3,-1
1,Flexão,1,1758635370688616,0,-2,-8,-5,-4,-8,1,1
1,Flexão,1,1758635370695253,-1,-1,-5,1,1,0,0,-1
1,Flexão,1,1758635370695253,-1,-1,-12,-11,-4,3,0,0
1,Flexão,1,1758635370711907,-2,3,14,-9,-5,-5,-2,-3
1,Flexão,1,1758635370711907,-1,2,-6,13,0,0,-2,0
1,Flexão,1,1758635370712898,0,-2,5,-16,1,-1,1,-2
1,Flexão,1,1758635370712898,-2,-3,-7,4,-3,0,-1,-1
1,Flexão,1,1758635370734767,-1,-2,-53,-9,2,-1,0,-1
1,Flexão,1,1758635370734767,-2,-3,5,4,-2,0,-1,-2
1,Flexão,1,1758635370735796,1,0,7,-30,-1,-4,0,0
1,Flexão,1,1758635370735796,-4,-4,-7,2,-5,-3,-3,-1
1,Flexão,1,1758635370748087,0,-1,15,16,4,2,1,1
1,Flexão,1,1758635370748087,0,3,0,5,-2,-1,0,-1
1,Flexão,1,1758635370756216,-1,-1,-4,-2,-2,-1,-1,2
1,Flexão,1,1758635370756216,-1,1,4,-5,-1,0,-1,-1
1,Flexão,1,1758635370772423,0,2,10,-1,-1,1,0,0
1,Flexão,1,1758635370772423,0,-2,-4,8,-2,-1,-2,-1
1,Flexão,1,1758635370773491,1,-1,3,5,1,-2,-1,1
1,Flexão,1,1758635370773491,-1,-1,-4,0,0,0,-3,-1
1,Flexão,1,1758635370793557,0,4,10,0,-1,-5,-1,2
1,Flexão,1,1758635370793557,-2,-1,-5,-3,1,5,-1,-1
1,Flexão,1,1758635370801771,-4,0,-6,-2,-4,4,-1,0
1,Flexão,1,1758635370801771,-1,-8,2,-3,1,-9,0,-1
1,Flexão,1,1758635370808409,1,1,3,-12,-4,3,3,-1
1,Flexão,1,1758635370808409,-2,0,8,17,-1,-8,-1,-1
1,Flexão,1,1758635370817272,-2,-1,-9,-1,-2,-3,-2,-1
1,Flexão,1,1758635370817272,-1,1,-4,-16,0,4,-1,1
1,Flexão,1,1758635370831956,-1,0,12,13,0,-2,0,1
1,Flexão,1,1758635370831956,0,-1,-1,-10,0,2,0,2
1,Flexão,1,1758635370832972,1,1,0,3,1,0,0,-2
1,Flexão,1,1758635370832972,0,1,2,1,-1,0,1,0
1,Flexão,1,1758635370854536,-3,-3,-1,-7,-1,-4,-1,-2
1,Flexão,1,1758635370854536,1,-1,-35,-18,1,1,0,-2
1,Flexão,1,1758635370855640,1,-1,6,3,-1,-3,-1,-1
1,Flexão,1,1758635370855640,1,1,4,10,3,3,-1,-1
1,Flexão,1,1758635370868225,0,-1,-3,-9,-3,-2,-1,0
1,Flexão,1,1758635370868225,-2,-3,-2,-1,-1,-1,-2,-1
1,Flexão,1,1758635370884933,-2,0,5,9,0,-4,-2,-2
1,Flexão,1,1758635370884933,-1,0,-8,-3,-1,0,0,0
1,Flexão,1,1758635370891691,-1,-1,22,29,2,1,0,-2
1,Flexão,1,1758635370891691,0,-1,-5,-32,-2,-2,-2,0
1,Flexão,1,1758635370893199,-1,1,0,26,-2,-1,-1,-1
1,Flexão,1,1758635370893199,-1,-5,2,8,3,-1,-1,-1
1,Flexão,1,1758635370914367,0,2,1,-15,-3,-2,-1,1
1,Flexão,1,1758635370914367,-1,0,3,-11,-4,-2,0,-1
1,Flexão,1,1758635370915902,-1,-1,4,5,4,-6,-2,1
1,Flexão,1,1758635370915902,1,-1,-10,-12,-5,16,0,-1
1,Flexão,1,1758635370927764,-2,-1,0,-13,-2,-8,-1,-1
1,Flexão,1,1758635370927764,-1,0,6,22,2,6,2,-2
1,Flexão,1,1758635370936240,0,-1,-2,-8,-4,-7,-1,0
1,Flexão,1,1758635370936240,0,-2,-1,-4,-2,-7,-2,1
1,Flexão,1,1758635370952055,1,0,-6,-10,-2,1,0,-1
1,Flexão,1,1758635370952055,-2,0,6,19,1,-3,-1,0
1,Flexão,1,1758635370952928,0,-1,-2,-3,-1,3,0,-2
1,Flexão,1,1758635370952928,2,0,1,-12,1,0,2,-1
1,Flexão,1,1758635370974278,1,0,-2,12,-2,1,-1,-1
1,Flexão,1,1758635370974278,0,-4,0,-3,0,-1,0,1
1,Flexão,1,1758635370976279,-1,-2,-4,-29,-3,-1,1,0
1,Flexão,1,1758635370976279,-1,1,11,46,4,-2,-3,-1
1,Flexão,1,1758635370988318,0,-4,-2,-48,-2,-1,0,-2
1,Flexão,1,1758635370988318,-1,-1,-14,11,1,2,-1,-1
