Dedo,Movimento,Repetição,Timestamp,Canal1,Canal2,Canal3,Canal4,Canal5,Canal6,Canal7,Canal8
1,Flexão,2,1759150219054084,-3,-7,-10,-3,10,-5,-5,-5
1,Flexão,2,1759150219054084,0,0,-2,10,12,-3,-3,-1
1,Flexão,2,1759150219054084,2,-2,-11,-38,-14,3,1,-3
1,Flexão,2,1759150219054084,-4,2,9,8,0,2,-2,-2
1,Flexão,2,1759150219077028,-4,-2,-3,-13,-20,-9,-2,-3
1,Flexão,2,1759150219077028,0,2,9,22,11,1,0,2
1,Flexão,2,1759150219077989,-3,-8,-9,-15,1,-4,-4,-3
1,Flexão,2,1759150219077989,2,4,-7,7,-2,5,2,1
1,Flexão,2,1759150219091728,0,5,17,1,0,0,0,-2
1,Flexão,2,1759150219091728,-3,-3,-1,-1,8,-2,-1,-1
1,Flexão,2,1759150219092740,0,7,8,25,2,-3,0,0
1,Flexão,2,1759150219092740,-1,-5,-4,-45,-20,-2,-4,-1
1,Flexão,2,1759150219114499,-2,0,-5,17,11,-2,-2,0
1,Flexão,2,1759150219114499,-1,-4,-10,-32,-23,0,-2,-1
1,Flexão,2,1759150219115495,-4,-4,5,16,0,1,-2,-1
1,Flexão,2,1759150219115495,-1,-1,2,13,-2,-3,-3,-2
1,Flexão,2,1759150219137532,2,4,4,-4,-1,-2,0,1
1,Flexão,2,1759150219137532,-1,1,-5,-1,11,-1,1,-2
1,Flexão,2,1759150219138450,-5,-5,-1,-3,2,1,0,-2
1,Flexão,2,1759150219138450,1,0,2,-3,-5,-6,-2,-3
1,Flexão,2,1759150219151406,0,4,1,-5,-4,-1,-1,0
1,Flexão,2,1759150219151406,-2,-5,-5,1,7,5,1,0
1,Flexão,2,1759150219152407,1,3,4,17,13,1,0,1
1,Flexão,2,1759150219152407,-3,4,1,3,9,-2,-4,0
1,Flexão,2,1759150219174033,-4,-8,-9,-30,-23,-11,-3,-3
1,Flexão,2,1759150219174033,0,2,9,9,0,3,0,-1
1,Flexão,2,1759150219174033,1,-5,-3,-12,-17,-3,0,0
1,Flexão,2,1759150219174033,0,0,-4,11,27,4,2,1
1,Flexão,2,1759150219197415,-2,-2,9,24,14,1,0,-1
1,Flexão,2,1759150219197415,-1,2,-7,-31,-20,-3,-2,-2
1,Flexão,2,1759150219198426,-1,-3,-2,-14,-33,-1,0,0
1,Flexão,2,1759150219198426,3,5,0,6,-6,3,4,3
1,Flexão,2,1759150219211428,0,-5,-8,4,16,-1,-3,-1
1,Flexão,2,1759150219211428,-3,-2,5,13,4,-2,-1,-1
1,Flexão,2,1759150219212424,1,0,0,0,10,0,0,0
1,Flexão,2,1759150219212424,2,2,-3,-16,-6,1,1,1
1,Flexão,2,1759150219234171,-5,-9,-5,-19,-18,-7,-4,-4
1,Flexão,2,1759150219234171,-3,-2,-1,7,7,-2,-2,-4
1,Flexão,2,1759150219235086,-3,-7,-3,4,10,-2,-3,-3
1,Flexão,2,1759150219235086,0,-2,-5,-11,-17,-1,-1,1
1,Flexão,2,1759150219257188,2,5,12,31,26,7,2,1
1,Flexão,2,1759150219257188,2,-9,-12,-25,-16,2,2,3
1,Flexão,2,1759150219258183,2,11,7,12,8,-2,0,1
1,Flexão,2,1759150219258183,-1,-6,-3,-10,-21,2,-2,1
1,Flexão,2,1759150219271722,1,-3,-10,-25,-13,-1,-1,1
1,Flexão,2,1759150219271722,-1,-1,4,20,19,-1,-5,-2
1,Flexão,2,1759150219272728,8,15,12,20,26,8,6,4
1,Flexão,2,1759150219272728,-4,-9,-10,-16,-26,-7,-2,-2
1,Flexão,2,1759150219293785,-1,-4,-7,7,2,6,1,-1
1,Flexão,2,1759150219293785,1,-3,-1,1,-8,-3,0,0
1,Flexão,2,1759150219295369,2,4,-2,-8,-1,0,-1,0
1,Flexão,2,1759150219295369,1,4,12,22,14,-3,-2,-2
1,Flexão,2,1759150219317059,3,6,0,1,-7,0,1,3
1,Flexão,2,1759150219317059,-5,-6,-6,-2,5,-2,-2,-3
