Timestamp,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
1758633277708537,-6,0,0,-1,-2,-1,-2,-4
1758633277708537,0,-2,-1,-5,0,0,0,2
1758633277716025,-1,0,1,-5,2,-2,0,0
1758633277716025,-1,0,1,4,-4,1,-3,0
1758633277731027,-2,-2,-2,-12,-3,0,0,0
1758633277731027,-2,-3,-2,11,0,-2,-1,-2
1758633277732031,-1,0,-1,-9,-2,0,0,1
1758633277732031,0,-3,3,1,-1,-1,0,-1
1758633277747473,-2,0,-2,-18,-1,0,3,0
1758633277747473,-2,-2,-2,23,-1,-1,-1,-1
1758633277753596,-1,-1,-4,-8,0,1,3,-3
1758633277753596,2,3,4,-3,-5,-2,-2,-1
1758633277768389,1,-2,0,5,2,-2,4,-1
1758633277768389,-2,-2,-1,-17,-4,2,-3,-1
1758633277775916,0,0,0,26,2,-1,1,1
1758633277775916,1,1,-4,-13,0,0,-2,0
1758633277791830,-2,3,8,-6,-4,-2,-2,-3
1758633277791830,-1,-4,-8,-11,-2,-2,-1,-3
1758633277791830,2,0,-3,16,4,-1,-2,0
1758633277791830,-1,2,5,-1,-2,-1,-1,-1
1758633277806710,0,-3,-5,1,3,-1,3,-2
1758633277806710,-2,2,3,-6,-2,-2,-1,-1
1758633277812798,-3,-4,-4,-7,-5,0,-4,-2
1758633277812798,2,4,8,12,3,-1,4,3
1758633277828001,1,1,-1,-2,1,-1,2,-1
1758633277828001,-2,-3,-3,-4,-4,-1,-6,0
1758633277835555,2,1,13,2,1,0,3,-3
1758633277835555,-1,-1,-4,-2,-2,-1,0,1
1758633277851395,-1,-2,-2,2,2,0,1,0
1758633277851395,-1,1,4,3,0,-1,-1,-1
1758633277852395,-2,-2,-1,-2,-2,-3,-1,-1
1758633277852395,-1,1,-4,-22,-3,0,-1,-1
1758633277866878,3,3,7,30,3,3,3,0
1758633277866878,-2,-1,3,-12,-1,-3,0,-1
1758633277872887,-1,-3,-10,-7,2,-1,-1,-1
1758633277872887,1,-1,1,6,-1,-1,0,-2
1758633277887937,-3,-1,-6,-15,-1,0,-2,-1
1758633277887937,-2,-2,1,16,3,1,-3,-1
1758633277895451,0,2,4,-9,0,0,1,-2
1758633277895451,-1,-6,-5,-2,0,-4,-5,-2
