Dedo,Movimento,Repetição,Timestamp,Canal1,Canal2,Canal3,Canal4,Canal5,Canal6,Canal7,Canal8
1,Extensão,2,1762976949477135,5,-2,-4,-1,7,3,2,1
1,Extensão,2,1762976949492230,-1,-4,-4,-10,16,10,4,2
1,Extensão,2,1762976949492230,0,0,2,4,-12,-21,-1,3
1,Extensão,2,1762976949493145,1,-1,5,17,58,15,-1,-5
1,Extensão,2,1762976949493145,-1,0,-4,-10,-23,12,0,5
1,Extensão,2,1762976949514621,1,1,3,-5,25,4,1,0
1,Extensão,2,1762976949514621,1,2,5,17,-9,-6,5,5
1,Extensão,2,1762976949516133,-6,-8,-23,-26,-3,-7,-8,-8
1,Extensão,2,1762976949516133,-2,-3,3,-3,-7,10,2,-4
1,Extensão,2,1762976949528161,1,-1,-2,1,10,-1,5,6
1,Extensão,2,1762976949528161,1,0,3,11,34,-6,-3,-4
1,Extensão,2,1762976949537226,3,5,4,4,-19,5,8,9
1,Extensão,2,1762976949537226,1,2,-2,-7,-8,1,0,-2
1,Extensão,2,1762976949552253,-2,-3,-1,-4,-7,5,-1,-8
1,Extensão,2,1762976949552253,-2,-2,-1,7,-9,-8,-3,3
1,Extensão,2,1762976949553260,5,1,2,0,4,1,-3,1
1,Extensão,2,1762976949553260,1,1,-1,-1,-5,6,1,1
1,Extensão,2,1762976949574767,0,2,2,-1,9,3,-2,-1
1,Extensão,2,1762976949574767,-3,-2,-4,2,-1,10,4,3
1,Extensão,2,1762976949576223,-6,-8,-7,-7,-1,12,-2,-8
1,Extensão,2,1762976949576223,1,1,1,-3,-7,-1,-1,3
1,Extensão,2,1762976949597001,-2,-2,-7,7,3,-4,-1,-2
1,Extensão,2,1762976949597001,-4,-1,3,-14,-23,-17,-4,-3
1,Extensão,2,1762976949598995,2,5,5,19,34,12,6,1
1,Extensão,2,1762976949598995,-3,0,-1,2,-34,7,5,2
1,Extensão,2,1762976949612050,-1,2,-3,-2,34,28,-4,0
1,Extensão,2,1762976949612050,2,0,-4,3,35,5,-2,4
1,Extensão,2,1762976949613045,-6,-1,1,-8,-12,-29,-7,-12
1,Extensão,2,1762976949613045,-1,1,-1,6,-2,7,6,14
1,Extensão,2,1762976949634731,-3,-1,0,5,1,8,3,-2
1,Extensão,2,1762976949634731,-1,-7,-14,-38,-53,-37,-14,-1
1,Extensão,2,1762976949635707,2,0,6,23,-29,3,4,-22
1,Extensão,2,1762976949635707,-2,8,11,23,43,54,10,0
1,Extensão,2,1762976949648679,-2,-3,-7,-20,-42,-25,-11,-6
1,Extensão,2,1762976949648679,-1,-2,-7,-7,-13,14,1,1
1,Extensão,2,1762976949664630,-1,-4,1,-1,30,-20,-20,-2
1,Extensão,2,1762976949664630,-4,-6,-6,-9,-35,-20,2,-7
1,Extensão,2,1762976949672345,-5,-9,-10,-11,20,0,-10,-3
1,Extensão,2,1762976949672345,2,8,15,38,-7,1,21,4
1,Extensão,2,1762976949673258,1,4,2,-2,-15,39,-4,-13
1,Extensão,2,1762976949673258,0,-2,-5,-25,-64,-52,-19,5
1,Extensão,2,1762976949694247,0,2,4,10,22,28,12,-9
1,Extensão,2,1762976949694247,4,-1,-1,6,17,15,-2,8
1,Extensão,2,1762976949696253,-8,-5,-5,-10,-44,-80,-15,-4
1,Extensão,2,1762976949696253,3,4,1,-10,2,-28,-2,7
1,Extensão,2,1762976949708718,-2,-2,-6,-17,-27,57,1,1
1,Extensão,2,1762976949708718,2,1,2,0,-13,32,7,-12
1,Extensão,2,1762976949717217,-1,0,4,15,10,-11,10,12
1,Extensão,2,1762976949717217,2,-2,-1,14,21,21,-16,-14
1,Extensão,2,1762976949732222,-1,0,1,-18,2,-62,1,5
1,Extensão,2,1762976949732222,-2,-3,-6,-18,-30,16,8,-9
1,Extensão,2,1762976949733234,3,3,4,11,63,54,5,6
1,Extensão,2,1762976949733234,-2,-5,-4,21,4,12,-5,-1
1,Extensão,2,1762976949754446,0,-1,-3,6,3,-19,-12,-1
1,Extensão,2,1762976949754446,4,5,-1,-28,-61,-3,9,10
1,Extensão,2,1762976949756466,-4,-2,-1,2,-16,33,4,-2
1,Extensão,2,1762976949756466,-3,-9,-11,-16,-26,-42,-18,-3
1,Extensão,2,1762976949768544,0,5,12,40,14,-23,16,6
1,Extensão,2,1762976949768544,-1,-2,2,-21,-18,-35,-15,5
1,Extensão,2,1762976949777464,7,7,10,16,52,58,46,24
1,Extensão,2,1762976949777464,-4,-2,-3,-10,3,25,3,-11
1,Extensão,2,1762976949792528,-1,-4,-3,-6,-42,-43,-5,0
1,Extensão,2,1762976949792528,-5,-8,-8,8,14,10,-7,-11
1,Extensão,2,1762976949793526,-5,-1,-4,-15,-21,-26,-11,-3
1,Extensão,2,1762976949793526,1,-1,2,-3,-1,7,3,-1
1,Extensão,2,1762976949814568,5,6,9,20,61,58,-1,7
1,Extensão,2,1762976949814568,8,7,8,19,44,-43,14,-3
1,Extensão,2,1762976949816117,1,-3,2,-4,8,-36,8,11
1,Extensão,2,1762976949816117,0,0,-5,-5,11,-5,8,7
1,Extensão,2,1762976949828219,0,-2,2,-2,5,4,-2,-1
1,Extensão,2,1762976949828219,-10,-8,-11,-5,-1,49,-11,-7
1,Extensão,2,1762976949837263,2,-5,-11,-13,-27,-20,-4,-7
1,Extensão,2,1762976949837263,-9,-9,-7,-36,-34,-72,-17,-13
1,Extensão,2,1762976949852140,2,-2,-1,6,47,58,6,-1
1,Extensão,2,1762976949852140,4,5,14,10,0,-91,8,-2
1,Extensão,2,1762976949853138,-2,-3,-5,-11,-25,21,-16,-2
1,Extensão,2,1762976949853138,-1,0,-3,14,19,32,7,0
1,Extensão,2,1762976949874187,1,-1,0,1,30,25,-7,-3
1,Extensão,2,1762976949874187,-2,-3,-3,-12,-5,-35,-1,-6
1,Extensão,2,1762976949876224,-1,-2,-4,-7,-20,-14,-7,8
1,Extensão,2,1762976949876224,7,8,12,3,32,45,0,7
1,Extensão,2,1762976949897152,-7,-2,-3,9,-35,-77,-3,-19
1,Extensão,2,1762976949897152,2,4,5,5,35,37,14,14
1,Extensão,2,1762976949899159,-2,1,4,12,8,-16,0,-8
1,Extensão,2,1762976949899159,2,1,-1,9,-2,-11,2,6
1,Extensão,2,1762976949912172,5,0,-3,-6,-14,-19,-4,10
1,Extensão,2,1762976949912172,-7,-9,-8,-15,-24,-65,-30,-13
1,Extensão,2,1762976949913173,5,1,-2,3,23,45,19,5
1,Extensão,2,1762976949913173,0,2,4,15,42,28,-9,-3
1,Extensão,2,1762976949934303,-3,-2,-7,-14,-51,-18,-8,-1
1,Extensão,2,1762976949934303,-4,-4,-4,-2,29,56,-1,3
